species,rule,country_code,admin1_region_code
# Black bears have a set of state allow rules, but the list
# excludes New Jersey.  Add New Jersey.
mammalia;carnivora;ursidae;ursus;americanus,allow,USA,NJ
# This genus is European deer, block in the US
mammalia;artiodactyla;cervidae;capreolus;,block,USA,
mammalia;artiodactyla;cervidae;capreolus;capreolus,block,USA,
# Dingos were incorrectly allowed globally; block outside of Australia
mammalia;carnivora;canidae;canis;lupus dingo,block,ABW,
mammalia;carnivora;canidae;canis;lupus dingo,block,AFG,
mammalia;carnivora;canidae;canis;lupus dingo,block,AGO,
mammalia;carnivora;canidae;canis;lupus dingo,block,AIA,
mammalia;carnivora;canidae;canis;lupus dingo,block,ALA,
mammalia;carnivora;canidae;canis;lupus dingo,block,ALB,
mammalia;carnivora;canidae;canis;lupus dingo,block,AND,
mammalia;carnivora;canidae;canis;lupus dingo,block,ARE,
mammalia;carnivora;canidae;canis;lupus dingo,block,ARG,
mammalia;carnivora;canidae;canis;lupus dingo,block,ARM,
mammalia;carnivora;canidae;canis;lupus dingo,block,ASM,
mammalia;carnivora;canidae;canis;lupus dingo,block,ATA,
mammalia;carnivora;canidae;canis;lupus dingo,block,ATF,
mammalia;carnivora;canidae;canis;lupus dingo,block,ATG,
mammalia;carnivora;canidae;canis;lupus dingo,block,AUT,
mammalia;carnivora;canidae;canis;lupus dingo,block,AZE,
mammalia;carnivora;canidae;canis;lupus dingo,block,BDI,
mammalia;carnivora;canidae;canis;lupus dingo,block,BEL,
mammalia;carnivora;canidae;canis;lupus dingo,block,BEN,
mammalia;carnivora;canidae;canis;lupus dingo,block,BES,
mammalia;carnivora;canidae;canis;lupus dingo,block,BFA,
mammalia;carnivora;canidae;canis;lupus dingo,block,BGD,
mammalia;carnivora;canidae;canis;lupus dingo,block,BGR,
mammalia;carnivora;canidae;canis;lupus dingo,block,BHR,
mammalia;carnivora;canidae;canis;lupus dingo,block,BHS,
mammalia;carnivora;canidae;canis;lupus dingo,block,BIH,
mammalia;carnivora;canidae;canis;lupus dingo,block,BLM,
mammalia;carnivora;canidae;canis;lupus dingo,block,BLR,
mammalia;carnivora;canidae;canis;lupus dingo,block,BLZ,
mammalia;carnivora;canidae;canis;lupus dingo,block,BMU,
mammalia;carnivora;canidae;canis;lupus dingo,block,BOL,
mammalia;carnivora;canidae;canis;lupus dingo,block,BRA,
mammalia;carnivora;canidae;canis;lupus dingo,block,BRB,
mammalia;carnivora;canidae;canis;lupus dingo,block,BRN,
mammalia;carnivora;canidae;canis;lupus dingo,block,BTN,
mammalia;carnivora;canidae;canis;lupus dingo,block,BVT,
mammalia;carnivora;canidae;canis;lupus dingo,block,BWA,
mammalia;carnivora;canidae;canis;lupus dingo,block,CAF,
mammalia;carnivora;canidae;canis;lupus dingo,block,CAN,
mammalia;carnivora;canidae;canis;lupus dingo,block,CCK,
mammalia;carnivora;canidae;canis;lupus dingo,block,CHE,
mammalia;carnivora;canidae;canis;lupus dingo,block,CHL,
mammalia;carnivora;canidae;canis;lupus dingo,block,CHN,
mammalia;carnivora;canidae;canis;lupus dingo,block,CIV,
mammalia;carnivora;canidae;canis;lupus dingo,block,CMR,
mammalia;carnivora;canidae;canis;lupus dingo,block,COD,
mammalia;carnivora;canidae;canis;lupus dingo,block,COG,
mammalia;carnivora;canidae;canis;lupus dingo,block,COK,
mammalia;carnivora;canidae;canis;lupus dingo,block,COL,
mammalia;carnivora;canidae;canis;lupus dingo,block,COM,
mammalia;carnivora;canidae;canis;lupus dingo,block,CPV,
mammalia;carnivora;canidae;canis;lupus dingo,block,CRI,
mammalia;carnivora;canidae;canis;lupus dingo,block,CUB,
mammalia;carnivora;canidae;canis;lupus dingo,block,CUW,
mammalia;carnivora;canidae;canis;lupus dingo,block,CXR,
mammalia;carnivora;canidae;canis;lupus dingo,block,CYM,
mammalia;carnivora;canidae;canis;lupus dingo,block,CYP,
mammalia;carnivora;canidae;canis;lupus dingo,block,CZE,
mammalia;carnivora;canidae;canis;lupus dingo,block,DEU,
mammalia;carnivora;canidae;canis;lupus dingo,block,DJI,
mammalia;carnivora;canidae;canis;lupus dingo,block,DMA,
mammalia;carnivora;canidae;canis;lupus dingo,block,DNK,
mammalia;carnivora;canidae;canis;lupus dingo,block,DOM,
mammalia;carnivora;canidae;canis;lupus dingo,block,DZA,
mammalia;carnivora;canidae;canis;lupus dingo,block,ECU,
mammalia;carnivora;canidae;canis;lupus dingo,block,EGY,
mammalia;carnivora;canidae;canis;lupus dingo,block,ERI,
mammalia;carnivora;canidae;canis;lupus dingo,block,ESH,
mammalia;carnivora;canidae;canis;lupus dingo,block,ESP,
mammalia;carnivora;canidae;canis;lupus dingo,block,EST,
mammalia;carnivora;canidae;canis;lupus dingo,block,ETH,
mammalia;carnivora;canidae;canis;lupus dingo,block,FIN,
mammalia;carnivora;canidae;canis;lupus dingo,block,FJI,
mammalia;carnivora;canidae;canis;lupus dingo,block,FLK,
mammalia;carnivora;canidae;canis;lupus dingo,block,FRA,
mammalia;carnivora;canidae;canis;lupus dingo,block,FRO,
mammalia;carnivora;canidae;canis;lupus dingo,block,FSM,
mammalia;carnivora;canidae;canis;lupus dingo,block,GAB,
mammalia;carnivora;canidae;canis;lupus dingo,block,GBR,
mammalia;carnivora;canidae;canis;lupus dingo,block,GEO,
mammalia;carnivora;canidae;canis;lupus dingo,block,GGY,
mammalia;carnivora;canidae;canis;lupus dingo,block,GHA,
mammalia;carnivora;canidae;canis;lupus dingo,block,GIB,
mammalia;carnivora;canidae;canis;lupus dingo,block,GIN,
mammalia;carnivora;canidae;canis;lupus dingo,block,GLP,
mammalia;carnivora;canidae;canis;lupus dingo,block,GMB,
mammalia;carnivora;canidae;canis;lupus dingo,block,GNB,
mammalia;carnivora;canidae;canis;lupus dingo,block,GNQ,
mammalia;carnivora;canidae;canis;lupus dingo,block,GRC,
